query_id,query_text
93,How can I improve my credit score?
94,What is the status of my loan application?
95,Why was my credit application rejected?
96,How can I improve my credit score?
97,Can you provide details on my credit score?
98,How many times have I been delinquent in the past?
99,Can you provide details on my credit score?
100,How many times have I been delinquent in the past?
101,What is my maximum level of delinquency?
102,How many times have I been delinquent in the past?
103,Can I get a detailed report of my recent transactions?
104,What are the fees associated with my account?
105,Why was my credit application rejected?
106,How many times have I been delinquent in the past?
107,What is the status of my loan application?
108,What is the status of my loan application?
109,How many times have I been delinquent in the past?
110,What is the status of my loan application?
111,Can you provide details on my credit score?
112,How many times have I been delinquent in the past?
113,Can I get a detailed report of my recent transactions?
114,What is the time since my last payment?
115,Why was my credit application rejected?
116,What is the time since my last payment?
117,Can I get a detailed report of my recent transactions?
118,Can you provide details on my credit score?
119,Can you provide details on my credit score?
120,How many times have I been delinquent in the past?
121,How can I improve my credit score?
122,Why was my credit application rejected?
123,What are the fees associated with my account?
124,What is my maximum level of delinquency?
125,How many times have I been delinquent in the past?
126,Can I get a detailed report of my recent transactions?
127,How can I improve my credit score?
128,How can I improve my credit score?
129,What is the status of my loan application?
130,What are the fees associated with my account?
131,What is the time since my last payment?
132,What is my maximum level of delinquency?
133,Can you provide details on my credit score?
134,What is the time since my last payment?
135,How many times have I been delinquent in the past?
136,Can you provide details on my credit score?
137,What is my maximum level of delinquency?
138,How many times have I been delinquent in the past?
139,Why was my credit application rejected?
140,What is the status of my loan application?
141,What is the status of my loan application?
142,Why was my credit application rejected?
143,What is my maximum level of delinquency?
144,What is my maximum level of delinquency?
145,What is the time since my last payment?
146,Why was my credit application rejected?
147,What are the fees associated with my account?
148,What does my approval flag status mean?
149,What is the time since my last payment?
150,Can I get a detailed report of my recent transactions?
151,What does my approval flag status mean?
152,How can I improve my credit score?
153,What is my maximum level of delinquency?
154,Why was my credit application rejected?
155,What does my approval flag status mean?
156,How many times have I been delinquent in the past?
157,How many times have I been delinquent in the past?
158,What is my maximum level of delinquency?
159,How can I improve my credit score?
160,What is the time since my last payment?
161,What is my maximum level of delinquency?
162,Why was my credit application rejected?
163,Can you provide details on my credit score?
164,What does my approval flag status mean?
165,How many times have I been delinquent in the past?
166,Can I get a detailed report of my recent transactions?
167,What are the fees associated with my account?
168,What is the status of my loan application?
169,Can you provide details on my credit score?
170,How many times have I been delinquent in the past?
171,What are the fees associated with my account?
172,Can you provide details on my credit score?
173,How can I improve my credit score?
174,What are the fees associated with my account?
175,How many times have I been delinquent in the past?
176,How can I improve my credit score?
177,What is the status of my loan application?
178,What is my maximum level of delinquency?
179,How can I improve my credit score?
180,What is the status of my loan application?
181,Can I get a detailed report of my recent transactions?
182,What is the status of my loan application?
183,How many times have I been delinquent in the past?
184,How can I improve my credit score?
185,Can I get a detailed report of my recent transactions?
186,What is my maximum level of delinquency?
187,Why was my credit application rejected?
188,What are the fees associated with my account?
189,What is my maximum level of delinquency?
190,What is the status of my loan application?
191,Why was my credit application rejected?
192,What is the status of my loan application?
193,Can I get a detailed report of my recent transactions?
194,Can I get a detailed report of my recent transactions?
195,Why was my credit application rejected?
196,What is the status of my loan application?
197,What are the fees associated with my account?
198,What is my maximum level of delinquency?
199,What are the fees associated with my account?
200,What does my approval flag status mean?
201,Can you provide details on my credit score?
202,What does my approval flag status mean?
203,Why was my credit application rejected?
204,How many times have I been delinquent in the past?
205,Why was my credit application rejected?
206,What is the status of my loan application?
207,What is my maximum level of delinquency?
208,How many times have I been delinquent in the past?
209,What is the status of my loan application?
210,Can I get a detailed report of my recent transactions?
211,What is the time since my last payment?
212,What does my approval flag status mean?
213,What is the time since my last payment?
214,How can I improve my credit score?
215,How many times have I been delinquent in the past?
216,What is the status of my loan application?
217,Can you provide details on my credit score?
218,Can I get a detailed report of my recent transactions?
219,What does my approval flag status mean?
220,Why was my credit application rejected?
221,What are the fees associated with my account?
222,Why was my credit application rejected?
223,What is my maximum level of delinquency?
224,How can I improve my credit score?
225,How many times have I been delinquent in the past?
226,What is my maximum level of delinquency?
227,Can you provide details on my credit score?
228,Can I get a detailed report of my recent transactions?
229,What does my approval flag status mean?
230,What is the status of my loan application?
231,Can you provide details on my credit score?
232,What is my maximum level of delinquency?
233,What is the status of my loan application?
234,What is my maximum level of delinquency?
235,Why was my credit application rejected?
236,What are the fees associated with my account?
237,How many times have I been delinquent in the past?
238,Can you provide details on my credit score?
239,What does my approval flag status mean?
240,Why was my credit application rejected?
241,How can I improve my credit score?
242,What does my approval flag status mean?
243,What are the fees associated with my account?
244,How can I improve my credit score?
245,Can I get a detailed report of my recent transactions?
246,What is the status of my loan application?
247,Can I get a detailed report of my recent transactions?
248,Why was my credit application rejected?
249,What is my maximum level of delinquency?
250,What is my maximum level of delinquency?
251,Can you provide details on my credit score?
252,What is my maximum level of delinquency?
253,How many times have I been delinquent in the past?
254,What is my maximum level of delinquency?
255,What is the status of my loan application?
256,What is the time since my last payment?
257,What is the status of my loan application?
258,Why was my credit application rejected?
259,What is my maximum level of delinquency?
260,How many times have I been delinquent in the past?
261,What is the status of my loan application?
262,What are the fees associated with my account?
263,Why was my credit application rejected?
264,Why was my credit application rejected?
265,What are the fees associated with my account?
266,What is the time since my last payment?
267,What does my approval flag status mean?
268,What are the fees associated with my account?
269,Can I get a detailed report of my recent transactions?
270,How can I improve my credit score?
271,What are the fees associated with my account?
272,Why was my credit application rejected?
273,Can I get a detailed report of my recent transactions?
274,What does my approval flag status mean?
275,What is the time since my last payment?
276,How can I improve my credit score?
277,Can I get a detailed report of my recent transactions?
278,What is the status of my loan application?
279,How many times have I been delinquent in the past?
280,How many times have I been delinquent in the past?
281,What is my maximum level of delinquency?
282,What is the time since my last payment?
283,Why was my credit application rejected?
284,Can you provide details on my credit score?
285,How can I improve my credit score?
286,What does my approval flag status mean?
287,What is the status of my loan application?
288,Can you provide details on my credit score?
289,What is the time since my last payment?
290,How can I improve my credit score?
291,What does my approval flag status mean?
292,What is my maximum level of delinquency?
293,Can you provide details on my credit score?
294,What is the status of my loan application?
295,What is my maximum level of delinquency?
296,Can you provide details on my credit score?
297,What are the fees associated with my account?
298,What is the status of my loan application?
299,What are the fees associated with my account?
300,What are the fees associated with my account?
301,What is my maximum level of delinquency?
302,Can I get a detailed report of my recent transactions?
303,Why was my credit application rejected?
304,How can I improve my credit score?
305,What is the time since my last payment?
306,How can I improve my credit score?
307,Can you provide details on my credit score?
308,What does my approval flag status mean?
309,What are the fees associated with my account?
310,Can you provide details on my credit score?
311,Can you provide details on my credit score?
312,What is the time since my last payment?
313,What is the status of my loan application?
314,What does my approval flag status mean?
315,Why was my credit application rejected?
316,What is the status of my loan application?
317,What is the status of my loan application?
318,What does my approval flag status mean?
319,What is my maximum level of delinquency?
320,What is my maximum level of delinquency?
321,Why was my credit application rejected?
322,Can you provide details on my credit score?
323,What does my approval flag status mean?
324,Can you provide details on my credit score?
325,Why was my credit application rejected?
326,What is the time since my last payment?
327,What does my approval flag status mean?
328,What is the status of my loan application?
329,Can you provide details on my credit score?
330,What does my approval flag status mean?
331,What is the time since my last payment?
332,How many times have I been delinquent in the past?
333,How many times have I been delinquent in the past?
334,Can I get a detailed report of my recent transactions?
335,What are the fees associated with my account?
336,Can you provide details on my credit score?
337,What is my maximum level of delinquency?
338,Can you provide details on my credit score?
339,Can I get a detailed report of my recent transactions?
340,How many times have I been delinquent in the past?
341,Why was my credit application rejected?
342,How many times have I been delinquent in the past?
343,What is the status of my loan application?
344,How can I improve my credit score?
345,What is the time since my last payment?
346,What does my approval flag status mean?
347,What is my maximum level of delinquency?
348,Why was my credit application rejected?
349,What is my maximum level of delinquency?
350,Can you provide details on my credit score?
351,Can you provide details on my credit score?
352,What does my approval flag status mean?
353,What is the status of my loan application?
354,How can I improve my credit score?
355,Can I get a detailed report of my recent transactions?
356,How many times have I been delinquent in the past?
357,Can you provide details on my credit score?
358,How many times have I been delinquent in the past?
359,How many times have I been delinquent in the past?
360,What is my maximum level of delinquency?
361,Can you provide details on my credit score?
362,What is the status of my loan application?
363,What is the time since my last payment?
364,What is my maximum level of delinquency?
365,What is the time since my last payment?
366,What does my approval flag status mean?
367,What is my maximum level of delinquency?
368,What is the time since my last payment?
369,Can I get a detailed report of my recent transactions?
370,What does my approval flag status mean?
371,What is my maximum level of delinquency?
372,How many times have I been delinquent in the past?
373,What is my maximum level of delinquency?
374,What is the status of my loan application?
375,Can I get a detailed report of my recent transactions?
376,What is the time since my last payment?
377,What is the status of my loan application?
378,How can I improve my credit score?
379,What are the fees associated with my account?
380,How many times have I been delinquent in the past?
381,Why was my credit application rejected?
382,What are the fees associated with my account?
383,Can I get a detailed report of my recent transactions?
384,What are the fees associated with my account?
385,Can I get a detailed report of my recent transactions?
386,Why was my credit application rejected?
387,What are the fees associated with my account?
388,What is the time since my last payment?
389,What does my approval flag status mean?
390,What is the status of my loan application?
391,What is my maximum level of delinquency?
392,What are the fees associated with my account?
393,What is the status of my loan application?
394,What is my maximum level of delinquency?
395,What is the status of my loan application?
396,Why was my credit application rejected?
397,How can I improve my credit score?
398,What is the time since my last payment?
399,What is the time since my last payment?
400,How can I improve my credit score?
401,What is my maximum level of delinquency?
402,Can you provide details on my credit score?
403,How many times have I been delinquent in the past?
404,Can I get a detailed report of my recent transactions?
405,What are the fees associated with my account?
406,What does my approval flag status mean?
407,What are the fees associated with my account?
408,What is the status of my loan application?
409,How can I improve my credit score?
410,How many times have I been delinquent in the past?
411,What does my approval flag status mean?
412,Can you provide details on my credit score?
413,What does my approval flag status mean?
414,What is my maximum level of delinquency?
415,How can I improve my credit score?
416,How can I improve my credit score?
417,Can you provide details on my credit score?
418,Can I get a detailed report of my recent transactions?
419,Can you provide details on my credit score?
420,What are the fees associated with my account?
421,Why was my credit application rejected?
422,What is the status of my loan application?
423,What does my approval flag status mean?
424,Why was my credit application rejected?
425,Why was my credit application rejected?
426,What does my approval flag status mean?
427,Why was my credit application rejected?
428,What is the status of my loan application?
429,What are the fees associated with my account?
430,What are the fees associated with my account?
431,What is the status of my loan application?
432,How many times have I been delinquent in the past?
433,Can I get a detailed report of my recent transactions?
434,What is my maximum level of delinquency?
435,Can you provide details on my credit score?
436,How many times have I been delinquent in the past?
437,How many times have I been delinquent in the past?
438,What does my approval flag status mean?
439,What is the time since my last payment?
440,How many times have I been delinquent in the past?
441,What is the time since my last payment?
442,What is the status of my loan application?
443,How many times have I been delinquent in the past?
444,Why was my credit application rejected?
445,Why was my credit application rejected?
446,What is the status of my loan application?
447,How many times have I been delinquent in the past?
448,What are the fees associated with my account?
449,How can I improve my credit score?
450,What is the time since my last payment?
451,What does my approval flag status mean?
452,What is the time since my last payment?
453,How can I improve my credit score?
454,What is the status of my loan application?
455,How can I improve my credit score?
456,What is my maximum level of delinquency?
457,Can you provide details on my credit score?
458,What is the time since my last payment?
459,What is my maximum level of delinquency?
460,What does my approval flag status mean?
461,How many times have I been delinquent in the past?
462,Can I get a detailed report of my recent transactions?
463,What are the fees associated with my account?
464,What are the fees associated with my account?
465,Can you provide details on my credit score?
466,How many times have I been delinquent in the past?
467,How many times have I been delinquent in the past?
468,What is my maximum level of delinquency?
469,Why was my credit application rejected?
470,Can I get a detailed report of my recent transactions?
471,Can I get a detailed report of my recent transactions?
472,Can you provide details on my credit score?
473,What does my approval flag status mean?
474,What is the time since my last payment?
475,What are the fees associated with my account?
476,Why was my credit application rejected?
477,What does my approval flag status mean?
478,How can I improve my credit score?
479,What is my maximum level of delinquency?
480,Can you provide details on my credit score?
481,What is my maximum level of delinquency?
482,Can you provide details on my credit score?
483,What does my approval flag status mean?
484,What are the fees associated with my account?
485,What is the time since my last payment?
486,What is the status of my loan application?
487,Can you provide details on my credit score?
488,How can I improve my credit score?
489,Can I get a detailed report of my recent transactions?
490,How many times have I been delinquent in the past?
491,How can I improve my credit score?
492,What is the time since my last payment?
493,What is the status of my loan application?
494,What is the status of my loan application?
495,What does my approval flag status mean?
496,Can I get a detailed report of my recent transactions?
497,Can I get a detailed report of my recent transactions?
498,What does my approval flag status mean?
499,Can I get a detailed report of my recent transactions?
500,Why was my credit application rejected?
501,Why was my credit application rejected?
502,What is the status of my loan application?
503,How can I improve my credit score?
504,How can I improve my credit score?
505,What are the fees associated with my account?
506,What does my approval flag status mean?
507,What is my maximum level of delinquency?
508,Can I get a detailed report of my recent transactions?
509,How can I improve my credit score?
510,What is my maximum level of delinquency?
511,How many times have I been delinquent in the past?
512,Can I get a detailed report of my recent transactions?
513,What are the fees associated with my account?
514,What does my approval flag status mean?
515,Why was my credit application rejected?
516,Can I get a detailed report of my recent transactions?
517,How many times have I been delinquent in the past?
518,How many times have I been delinquent in the past?
519,Can I get a detailed report of my recent transactions?
520,What does my approval flag status mean?
521,What are the fees associated with my account?
522,How many times have I been delinquent in the past?
523,What is my maximum level of delinquency?
524,How can I improve my credit score?
525,What is my maximum level of delinquency?
526,What is the time since my last payment?
527,What is the time since my last payment?
528,How can I improve my credit score?
529,Can you provide details on my credit score?
530,Why was my credit application rejected?
531,Can you provide details on my credit score?
532,Can I get a detailed report of my recent transactions?
533,What is the status of my loan application?
534,How many times have I been delinquent in the past?
535,Why was my credit application rejected?
536,What are the fees associated with my account?
537,Can you provide details on my credit score?
538,Can you provide details on my credit score?
539,How many times have I been delinquent in the past?
540,What does my approval flag status mean?
541,How can I improve my credit score?
542,What does my approval flag status mean?
543,How many times have I been delinquent in the past?
544,What is my maximum level of delinquency?
545,What are the fees associated with my account?
546,What is the time since my last payment?
547,What is the status of my loan application?
548,What is the time since my last payment?
549,What does my approval flag status mean?
550,What are the fees associated with my account?
551,What are the fees associated with my account?
552,What does my approval flag status mean?
553,Why was my credit application rejected?
554,How many times have I been delinquent in the past?
555,Can you provide details on my credit score?
556,What does my approval flag status mean?
557,What is my maximum level of delinquency?
558,What is the time since my last payment?
559,Can you provide details on my credit score?
560,What is the status of my loan application?
561,How many times have I been delinquent in the past?
562,What is the time since my last payment?
563,Why was my credit application rejected?
564,Can you provide details on my credit score?
565,Can you provide details on my credit score?
566,What are the fees associated with my account?
567,Can I get a detailed report of my recent transactions?
568,Why was my credit application rejected?
569,What is the time since my last payment?
570,What are the fees associated with my account?
571,Why was my credit application rejected?
572,Can you provide details on my credit score?
573,What is the time since my last payment?
574,How many times have I been delinquent in the past?
575,Why was my credit application rejected?
576,How many times have I been delinquent in the past?
577,Why was my credit application rejected?
578,How many times have I been delinquent in the past?
579,What is the time since my last payment?
580,What is the time since my last payment?
581,How many times have I been delinquent in the past?
582,How can I improve my credit score?
583,How many times have I been delinquent in the past?
584,Can you provide details on my credit score?
585,What is my maximum level of delinquency?
586,Why was my credit application rejected?
587,What does my approval flag status mean?
588,What are the fees associated with my account?
589,Can I get a detailed report of my recent transactions?
590,What is the status of my loan application?
591,What does my approval flag status mean?
592,What does my approval flag status mean?
593,How can I improve my credit score?
594,How can I improve my credit score?
595,What is my maximum level of delinquency?
596,How many times have I been delinquent in the past?
597,What is my maximum level of delinquency?
598,What is my maximum level of delinquency?
599,What are the fees associated with my account?
600,How many times have I been delinquent in the past?
601,What are the fees associated with my account?
602,What is the status of my loan application?
603,What is the time since my last payment?
604,Can you provide details on my credit score?
605,Can I get a detailed report of my recent transactions?
606,What is the status of my loan application?
607,What does my approval flag status mean?
608,Can I get a detailed report of my recent transactions?
609,How can I improve my credit score?
610,Can you provide details on my credit score?
611,How can I improve my credit score?
612,How many times have I been delinquent in the past?
613,What is the time since my last payment?
614,Can you provide details on my credit score?
615,Can you provide details on my credit score?
616,Can you provide details on my credit score?
617,What is the time since my last payment?
618,Why was my credit application rejected?
619,How can I improve my credit score?
620,What is the time since my last payment?
621,How many times have I been delinquent in the past?
622,Why was my credit application rejected?
623,What is my maximum level of delinquency?
624,Can I get a detailed report of my recent transactions?
625,What is the status of my loan application?
626,What is the time since my last payment?
627,Can I get a detailed report of my recent transactions?
628,Can I get a detailed report of my recent transactions?
629,How many times have I been delinquent in the past?
630,Why was my credit application rejected?
631,Can I get a detailed report of my recent transactions?
632,Can you provide details on my credit score?
633,What is my maximum level of delinquency?
634,Can you provide details on my credit score?
635,What does my approval flag status mean?
636,What does my approval flag status mean?
637,Why was my credit application rejected?
638,What is the time since my last payment?
639,How can I improve my credit score?
640,Can you provide details on my credit score?
641,What is the status of my loan application?
642,What is the time since my last payment?
643,Can you provide details on my credit score?
644,What is the status of my loan application?
645,How many times have I been delinquent in the past?
646,What is the time since my last payment?
647,Why was my credit application rejected?
648,What is the time since my last payment?
649,How can I improve my credit score?
650,Can I get a detailed report of my recent transactions?
651,What does my approval flag status mean?
652,How can I improve my credit score?
653,How many times have I been delinquent in the past?
654,What is my maximum level of delinquency?
655,What are the fees associated with my account?
656,What is the time since my last payment?
657,How many times have I been delinquent in the past?
658,What is my maximum level of delinquency?
659,What is my maximum level of delinquency?
660,How can I improve my credit score?
661,What is the time since my last payment?
662,What is the status of my loan application?
663,How many times have I been delinquent in the past?
664,What is the status of my loan application?
665,What does my approval flag status mean?
666,How many times have I been delinquent in the past?
667,How many times have I been delinquent in the past?
668,What are the fees associated with my account?
669,Can you provide details on my credit score?
670,Why was my credit application rejected?
671,What does my approval flag status mean?
672,How many times have I been delinquent in the past?
673,Why was my credit application rejected?
674,Can I get a detailed report of my recent transactions?
675,Can you provide details on my credit score?
676,Why was my credit application rejected?
677,How many times have I been delinquent in the past?
678,What is my maximum level of delinquency?
679,Why was my credit application rejected?
680,How many times have I been delinquent in the past?
681,Why was my credit application rejected?
682,How many times have I been delinquent in the past?
683,Can you provide details on my credit score?
684,What does my approval flag status mean?
685,Can I get a detailed report of my recent transactions?
686,Why was my credit application rejected?
687,What is the time since my last payment?
688,What is my maximum level of delinquency?
689,What is the status of my loan application?
690,What does my approval flag status mean?
691,How can I improve my credit score?
692,How can I improve my credit score?
693,What is the time since my last payment?
694,Can you provide details on my credit score?
695,What are the fees associated with my account?
696,How many times have I been delinquent in the past?
697,How many times have I been delinquent in the past?
698,What is the time since my last payment?
699,How can I improve my credit score?
700,What is my maximum level of delinquency?
701,How many times have I been delinquent in the past?
702,What is my maximum level of delinquency?
703,What are the fees associated with my account?
704,Can I get a detailed report of my recent transactions?
705,What is the status of my loan application?
706,What does my approval flag status mean?
707,Can you provide details on my credit score?
708,Can I get a detailed report of my recent transactions?
709,Can you provide details on my credit score?
710,Can I get a detailed report of my recent transactions?
711,Why was my credit application rejected?
712,How can I improve my credit score?
713,Can I get a detailed report of my recent transactions?
714,How can I improve my credit score?
715,Can you provide details on my credit score?
716,Why was my credit application rejected?
717,What is the time since my last payment?
718,What is the time since my last payment?
719,Can I get a detailed report of my recent transactions?
720,Can you provide details on my credit score?
721,What is the time since my last payment?
722,Why was my credit application rejected?
723,Can I get a detailed report of my recent transactions?
724,What does my approval flag status mean?
725,What is my maximum level of delinquency?
726,What is the status of my loan application?
727,What is my maximum level of delinquency?
728,What are the fees associated with my account?
729,Can I get a detailed report of my recent transactions?
730,What is the status of my loan application?
731,Why was my credit application rejected?
732,Can I get a detailed report of my recent transactions?
733,Can you provide details on my credit score?
734,Can you provide details on my credit score?
735,What is the time since my last payment?
736,Can you provide details on my credit score?
737,What are the fees associated with my account?
738,What is the status of my loan application?
739,How can I improve my credit score?
740,Why was my credit application rejected?
741,What is the status of my loan application?
742,Can you provide details on my credit score?
743,What does my approval flag status mean?
744,How many times have I been delinquent in the past?
745,What is the time since my last payment?
746,Why was my credit application rejected?
747,What is my maximum level of delinquency?
748,What does my approval flag status mean?
749,How many times have I been delinquent in the past?
750,What is the time since my last payment?
751,What is the status of my loan application?
752,Can you provide details on my credit score?
753,What is the time since my last payment?
754,Can you provide details on my credit score?
755,Can I get a detailed report of my recent transactions?
756,Why was my credit application rejected?
757,What is the status of my loan application?
758,What is the time since my last payment?
759,What is my maximum level of delinquency?
760,How can I improve my credit score?
761,What are the fees associated with my account?
762,What is the time since my last payment?
763,What are the fees associated with my account?
764,What is the status of my loan application?
765,What does my approval flag status mean?
766,Can I get a detailed report of my recent transactions?
767,What is my maximum level of delinquency?
768,What is my maximum level of delinquency?
769,How can I improve my credit score?
770,Why was my credit application rejected?
771,What are the fees associated with my account?
772,Can you provide details on my credit score?
773,Why was my credit application rejected?
774,Why was my credit application rejected?
775,What is the status of my loan application?
776,How can I improve my credit score?
777,What does my approval flag status mean?
778,Why was my credit application rejected?
779,Why was my credit application rejected?
780,How many times have I been delinquent in the past?
781,What are the fees associated with my account?
782,Why was my credit application rejected?
783,What does my approval flag status mean?
784,What is my maximum level of delinquency?
785,What does my approval flag status mean?
786,How many times have I been delinquent in the past?
787,What is the status of my loan application?
788,Why was my credit application rejected?
789,What is the status of my loan application?
790,What does my approval flag status mean?
791,What is the status of my loan application?
792,Can I get a detailed report of my recent transactions?
793,How can I improve my credit score?
794,Can you provide details on my credit score?
795,What is the status of my loan application?
796,How can I improve my credit score?
797,What are the fees associated with my account?
798,What is the time since my last payment?
799,What is the time since my last payment?
800,What is the time since my last payment?
801,What is the status of my loan application?
802,Can you provide details on my credit score?
803,What is the status of my loan application?
804,What are the fees associated with my account?
805,Can I get a detailed report of my recent transactions?
806,What is my maximum level of delinquency?
807,What does my approval flag status mean?
808,How many times have I been delinquent in the past?
809,What is the time since my last payment?
810,How can I improve my credit score?
811,What does my approval flag status mean?
812,What is my maximum level of delinquency?
813,Can I get a detailed report of my recent transactions?
814,What is the status of my loan application?
815,What is my maximum level of delinquency?
816,Can you provide details on my credit score?
817,How many times have I been delinquent in the past?
818,Why was my credit application rejected?
819,Can I get a detailed report of my recent transactions?
820,What is the time since my last payment?
821,What are the fees associated with my account?
822,What are the fees associated with my account?
823,What is the time since my last payment?
824,What is the status of my loan application?
825,Can you provide details on my credit score?
826,Why was my credit application rejected?
827,What is the status of my loan application?
828,Can I get a detailed report of my recent transactions?
829,Can I get a detailed report of my recent transactions?
830,How many times have I been delinquent in the past?
831,What is my maximum level of delinquency?
832,Can you provide details on my credit score?
833,What is the time since my last payment?
834,How can I improve my credit score?
835,What is my maximum level of delinquency?
836,What are the fees associated with my account?
837,Can you provide details on my credit score?
838,Why was my credit application rejected?
839,Can you provide details on my credit score?
840,What is the time since my last payment?
841,What are the fees associated with my account?
842,What are the fees associated with my account?
843,What are the fees associated with my account?
844,How can I improve my credit score?
845,What does my approval flag status mean?
846,What is the time since my last payment?
847,What is my maximum level of delinquency?
848,What does my approval flag status mean?
849,What is the time since my last payment?
850,Why was my credit application rejected?
851,What is the time since my last payment?
852,Can I get a detailed report of my recent transactions?
853,How many times have I been delinquent in the past?
854,What are the fees associated with my account?
855,What is the time since my last payment?
856,What is the time since my last payment?
857,What is the time since my last payment?
858,Can I get a detailed report of my recent transactions?
859,What are the fees associated with my account?
860,Why was my credit application rejected?
861,Can you provide details on my credit score?
862,Can you provide details on my credit score?
863,What is the status of my loan application?
864,What is the status of my loan application?
865,How can I improve my credit score?
866,How many times have I been delinquent in the past?
867,What is the status of my loan application?
868,Can I get a detailed report of my recent transactions?
869,What is my maximum level of delinquency?
870,Can you provide details on my credit score?
871,How many times have I been delinquent in the past?
872,What is the time since my last payment?
873,What is the status of my loan application?
874,Can I get a detailed report of my recent transactions?
875,What does my approval flag status mean?
876,What is the status of my loan application?
877,Can you provide details on my credit score?
878,What is the status of my loan application?
879,What is the time since my last payment?
880,What does my approval flag status mean?
881,How can I improve my credit score?
882,What are the fees associated with my account?
883,What is the status of my loan application?
884,Can you provide details on my credit score?
885,What is my maximum level of delinquency?
886,What does my approval flag status mean?
887,What are the fees associated with my account?
888,What is the time since my last payment?
889,Can I get a detailed report of my recent transactions?
890,What is the time since my last payment?
891,What are the fees associated with my account?
892,Why was my credit application rejected?
893,What is my maximum level of delinquency?
894,Why was my credit application rejected?
895,What does my approval flag status mean?
896,What is the status of my loan application?
897,What is the status of my loan application?
898,What is the status of my loan application?
899,What is the time since my last payment?
900,What is my maximum level of delinquency?
901,What is the time since my last payment?
902,What is the time since my last payment?
903,What is the status of my loan application?
904,Can you provide details on my credit score?
905,What is the status of my loan application?
906,Can you provide details on my credit score?
907,What are the fees associated with my account?
908,Why was my credit application rejected?
909,What are the fees associated with my account?
910,How many times have I been delinquent in the past?
911,How many times have I been delinquent in the past?
912,What is the status of my loan application?
913,Can I get a detailed report of my recent transactions?
914,How can I improve my credit score?
915,Can I get a detailed report of my recent transactions?
916,Can you provide details on my credit score?
917,What are the fees associated with my account?
918,How can I improve my credit score?
919,What does my approval flag status mean?
920,What does my approval flag status mean?
921,What is the status of my loan application?
922,How can I improve my credit score?
923,How many times have I been delinquent in the past?
924,How many times have I been delinquent in the past?
925,What are the fees associated with my account?
926,Can I get a detailed report of my recent transactions?
927,What is the time since my last payment?
928,What are the fees associated with my account?
929,How can I improve my credit score?
930,What is the status of my loan application?
931,What is my maximum level of delinquency?
932,What is the status of my loan application?
933,What is my maximum level of delinquency?
934,How many times have I been delinquent in the past?
935,Can you provide details on my credit score?
936,What is the status of my loan application?
937,Why was my credit application rejected?
938,Why was my credit application rejected?
939,What does my approval flag status mean?
